husband(GF1, GM1)
sibling(M6A, M6B)
sibling(M6B, M6A)
father(F6A, C6A1)
mother(M6A, C6A1)
father(F6A, C6A2)
mother(M6A, C6A2)
father(F6B, C6B1)
mother(M6B, C6B1)
father(F6B, C6B2)
mother(M6B, C6B2)
son(F6A, GF6)
daughter(F6B, GM6)
son(C6A1, F6A)
daughter(C6A2, M6A)
son(C6B1, F6B)
daughter(C6B2, M6B)
grandfather_chain(GF6, C6A1)
grandfather_chain(GF6, C6A2)
grandfather_chain(GF6, C6B1)
grandfather_chain(GF6, C6B2)
grandmother_chain(GM6, C6A1)
grandmother_chain(GM6, C6A2)
grandmother_chain(GM6, C6B1)
grandmother_chain(GM6, C6B2)
paternal_uncle_chain(GU6, F6A)
paternal_uncle_chain(GU6, F6B)
maternal_aunt_chain(GA6, F6A)
maternal_aunt_chain(GA6, F6B)
cousin_chain(C6A1, C6B1)
cousin_chain(C6B1, C6A1)
cousin_chain(C6A1, C6B2)
cousin_chain(C6B2, C6A1)
cousin_chain(C6A2, C6B1)
cousin_chain(C6B1, C6A2)
cousin_chain(C6A2, C6B2)
cousin_chain(C6B2, C6A2)
husband(GF7, GM7)
wife(GM7, GF7)
brother(GU7, GF7)
sister(GA7, GM7)
sibling(GU7, GF7)
sibling(GF7, GU7)
sibling(GA7, GM7)
sibling(GM7, GA7)
father(GF7, F7A)
mother(GM7, F7A)
father(GF7, F7B)
mother(GM7, F7B)
husband(F7A, M7A)
wife(M7A, F7A)
husband(F7B, M7B)
wife(M7B, F7B)
brother(F7A, F7B)
sister(M7A, M7B)
sibling(F7A, F7B)
sibling(F7B, F7A)
sibling(M7A, M7B)
sibling(M7B, M7A)
father(F7A, C7A1)
mother(M7A, C7A1)
father(F7A, C7A2)
mother(M7A, C7A2)
father(F7B, C7B1)
mother(M7B, C7B1)
father(F7B, C7B2)
mother(M7B, C7B2)
son(F7A, GF7)
daughter(F7B, GM7)
son(C7A1, F7A)
daughter(C7A2, M7A)
son(C7B1, F7B)
daughter(C7B2, M7B)
grandfather_chain(GF7, C7A1)
grandfather_chain(GF7, C7A2)
grandfather_chain(GF7, C7B1)
grandfather_chain(GF7, C7B2)
grandmother_chain(GM7, C7A1)
grandmother_chain(GM7, C7A2)
grandmother_chain(GM7, C7B1)
grandmother_chain(GM7, C7B2)
paternal_uncle_chain(GU7, F7A)
paternal_uncle_chain(GU7, F7B)
maternal_aunt_chain(GA7, F7A)
maternal_aunt_chain(GA7, F7B)
cousin_chain(C7A1, C7B1)
cousin_chain(C7B1, C7A1)
cousin_chain(C7A1, C7B2)
cousin_chain(C7B2, C7A1)
cousin_chain(C7A2, C7B1)
cousin_chain(C7B1, C7A2)
cousin_chain(C7A2, C7B2)
cousin_chain(C7B2, C7A2)
husband(GF8, GM8)
wife(GM8, GF8)
brother(GU8, GF8)
sister(GA8, GM8)
sibling(GU8, GF8)
sibling(GF8, GU8)
sibling(GA8, GM8)
sibling(GM8, GA8)
father(GF8, F8A)
mother(GM8, F8A)
father(GF8, F8B)
mother(GM8, F8B)
husband(F8A, M8A)
wife(M8A, F8A)
husband(F8B, M8B)
wife(M8B, F8B)
brother(F8A, F8B)
sister(M8A, M8B)
sibling(F8A, F8B)
sibling(F8B, F8A)
sibling(M8A, M8B)
sibling(M8B, M8A)
father(F8A, C8A1)
mother(M8A, C8A1)
father(F8A, C8A2)
mother(M8A, C8A2)
father(F8B, C8B1)
mother(M8B, C8B1)
father(F8B, C8B2)
mother(M8B, C8B2)
son(F8A, GF8)
daughter(F8B, GM8)
son(C8A1, F8A)
daughter(C8A2, M8A)
son(C8B1, F8B)
daughter(C8B2, M8B)
grandfather_chain(GF8, C8A1)
grandfather_chain(GF8, C8A2)
grandfather_chain(GF8, C8B1)
grandfather_chain(GF8, C8B2)
grandmother_chain(GM8, C8A1)
grandmother_chain(GM8, C8A2)
grandmother_chain(GM8, C8B1)
grandmother_chain(GM8, C8B2)
paternal_uncle_chain(GU8, F8A)
paternal_uncle_chain(GU8, F8B)
maternal_aunt_chain(GA8, F8A)
maternal_aunt_chain(GA8, F8B)
cousin_chain(C8A1, C8B1)
cousin_chain(C8B1, C8A1)
cousin_chain(C8A1, C8B2)
cousin_chain(C8B2, C8A1)
cousin_chain(C8A2, C8B1)
cousin_chain(C8B1, C8A2)
cousin_chain(C8A2, C8B2)
cousin_chain(C8B2, C8A2)
husband(GF9, GM9)
wife(GM9, GF9)
brother(GU9, GF9)
sister(GA9, GM9)
sibling(GU9, GF9)
sibling(GF9, GU9)
sibling(GA9, GM9)
sibling(GM9, GA9)
father(GF9, F9A)
mother(GM9, F9A)
father(GF9, F9B)
mother(GM9, F9B)
husband(F9A, M9A)
wife(M9A, F9A)
husband(F9B, M9B)
wife(M9B, F9B)
brother(F9A, F9B)
sister(M9A, M9B)
sibling(F9A, F9B)
sibling(F9B, F9A)
sibling(M9A, M9B)
sibling(M9B, M9A)
father(F9A, C9A1)
mother(M9A, C9A1)
father(F9A, C9A2)
mother(M9A, C9A2)
father(F9B, C9B1)
mother(M9B, C9B1)
father(F9B, C9B2)
mother(M9B, C9B2)
son(F9A, GF9)
daughter(F9B, GM9)
son(C9A1, F9A)
daughter(C9A2, M9A)
son(C9B1, F9B)
daughter(C9B2, M9B)
grandfather_chain(GF9, C9A1)
grandfather_chain(GF9, C9A2)
grandfather_chain(GF9, C9B1)
grandfather_chain(GF9, C9B2)
grandmother_chain(GM9, C9A1)
grandmother_chain(GM9, C9A2)
grandmother_chain(GM9, C9B1)
grandmother_chain(GM9, C9B2)
paternal_uncle_chain(GU9, F9A)
paternal_uncle_chain(GU9, F9B)
maternal_aunt_chain(GA9, F9A)
maternal_aunt_chain(GA9, F9B)
cousin_chain(C9A1, C9B1)
cousin_chain(C9B1, C9A1)
cousin_chain(C9A1, C9B2)
cousin_chain(C9B2, C9A1)
cousin_chain(C9A2, C9B1)
cousin_chain(C9B1, C9A2)
cousin_chain(C9A2, C9B2)
cousin_chain(C9B2, C9A2)
husband(GF10, GM10)
wife(GM10, GF10)
brother(GU10, GF10)
sister(GA10, GM10)
sibling(GU10, GF10)
sibling(GF10, GU10)
sibling(GA10, GM10)
sibling(GM10, GA10)
father(GF10, F10A)
mother(GM10, F10A)
father(GF10, F10B)
mother(GM10, F10B)
husband(F10A, M10A)
wife(M10A, F10A)
husband(F10B, M10B)
wife(M10B, F10B)
brother(F10A, F10B)
sister(M10A, M10B)
sibling(F10A, F10B)
sibling(F10B, F10A)
sibling(M10A, M10B)
sibling(M10B, M10A)
father(F10A, C10A1)
mother(M10A, C10A1)
father(F10A, C10A2)
mother(M10A, C10A2)
father(F10B, C10B1)
mother(M10B, C10B1)
father(F10B, C10B2)
mother(M10B, C10B2)
son(F10A, GF10)
daughter(F10B, GM10)
son(C10A1, F10A)
daughter(C10A2, M10A)
son(C10B1, F10B)
daughter(C10B2, M10B)
grandfather_chain(GF10, C10A1)
grandfather_chain(GF10, C10A2)
grandfather_chain(GF10, C10B1)
grandfather_chain(GF10, C10B2)
grandmother_chain(GM10, C10A1)
grandmother_chain(GM10, C10A2)
grandmother_chain(GM10, C10B1)
grandmother_chain(GM10, C10B2)
paternal_uncle_chain(GU10, F10A)
paternal_uncle_chain(GU10, F10B)
maternal_aunt_chain(GA10, F10A)
maternal_aunt_chain(GA10, F10B)
cousin_chain(C10A1, C10B1)
cousin_chain(C10B1, C10A1)
cousin_chain(C10A1, C10B2)
cousin_chain(C10B2, C10A1)
cousin_chain(C10A2, C10B1)
cousin_chain(C10B1, C10A2)
cousin_chain(C10A2, C10B2)
cousin_chain(C10B2, C10A2)
husband(GF11, GM11)
wife(GM11, GF11)
brother(GU11, GF11)
sister(GA11, GM11)
sibling(GU11, GF11)
sibling(GF11, GU11)
sibling(GA11, GM11)
sibling(GM11, GA11)
father(GF11, F11A)
mother(GM11, F11A)
father(GF11, F11B)
mother(GM11, F11B)
husband(F11A, M11A)
wife(M11A, F11A)
husband(F11B, M11B)
wife(M11B, F11B)
brother(F11A, F11B)
sister(M11A, M11B)
sibling(F11A, F11B)
sibling(F11B, F11A)
sibling(M11A, M11B)
sibling(M11B, M11A)
father(F11A, C11A1)
mother(M11A, C11A1)
father(F11A, C11A2)
mother(M11A, C11A2)
father(F11B, C11B1)
mother(M11B, C11B1)
father(F11B, C11B2)
mother(M11B, C11B2)
son(F11A, GF11)
daughter(F11B, GM11)
son(C11A1, F11A)
daughter(C11A2, M11A)
son(C11B1, F11B)
daughter(C11B2, M11B)
grandfather_chain(GF11, C11A1)
grandfather_chain(GF11, C11A2)
grandfather_chain(GF11, C11B1)
grandfather_chain(GF11, C11B2)
grandmother_chain(GM11, C11A1)
grandmother_chain(GM11, C11A2)
grandmother_chain(GM11, C11B1)
grandmother_chain(GM11, C11B2)
paternal_uncle_chain(GU11, F11A)
paternal_uncle_chain(GU11, F11B)
maternal_aunt_chain(GA11, F11A)
maternal_aunt_chain(GA11, F11B)
cousin_chain(C11A1, C11B1)
cousin_chain(C11B1, C11A1)
cousin_chain(C11A1, C11B2)
cousin_chain(C11B2, C11A1)
cousin_chain(C11A2, C11B1)
cousin_chain(C11B1, C11A2)
cousin_chain(C11A2, C11B2)
cousin_chain(C11B2, C11A2)
husband(GF12, GM12)
wife(GM12, GF12)
brother(GU12, GF12)
sister(GA12, GM12)
sibling(GU12, GF12)
sibling(GF12, GU12)
sibling(GA12, GM12)
sibling(GM12, GA12)
father(GF12, F12A)
mother(GM12, F12A)
father(GF12, F12B)
mother(GM12, F12B)
husband(F12A, M12A)
wife(M12A, F12A)
husband(F12B, M12B)
wife(M12B, F12B)
brother(F12A, F12B)
sister(M12A, M12B)
sibling(F12A, F12B)
sibling(F12B, F12A)
sibling(M12A, M12B)
sibling(M12B, M12A)
father(F12A, C12A1)
mother(M12A, C12A1)
father(F12A, C12A2)
mother(M12A, C12A2)
father(F12B, C12B1)
mother(M12B, C12B1)
father(F12B, C12B2)
mother(M12B, C12B2)
son(F12A, GF12)
daughter(F12B, GM12)
son(C12A1, F12A)
daughter(C12A2, M12A)
son(C12B1, F12B)
daughter(C12B2, M12B)
grandfather_chain(GF12, C12A1)
grandfather_chain(GF12, C12A2)
grandfather_chain(GF12, C12B1)
grandfather_chain(GF12, C12B2)
grandmother_chain(GM12, C12A1)
grandmother_chain(GM12, C12A2)
grandmother_chain(GM12, C12B1)
grandmother_chain(GM12, C12B2)
paternal_uncle_chain(GU12, F12A)
paternal_uncle_chain(GU12, F12B)
maternal_aunt_chain(GA12, F12A)
maternal_aunt_chain(GA12, F12B)
cousin_chain(C12A1, C12B1)
cousin_chain(C12B1, C12A1)
cousin_chain(C12A1, C12B2)
cousin_chain(C12B2, C12A1)
cousin_chain(C12A2, C12B1)
cousin_chain(C12B1, C12A2)
cousin_chain(C12A2, C12B2)
cousin_chain(C12B2, C12A2)
husband(GF13, GM13)
wife(GM13, GF13)
brother(GU13, GF13)
sister(GA13, GM13)
sibling(GU13, GF13)
sibling(GF13, GU13)
sibling(GA13, GM13)
sibling(GM13, GA13)
father(GF13, F13A)
mother(GM13, F13A)
father(GF13, F13B)
mother(GM13, F13B)
husband(F13A, M13A)
wife(M13A, F13A)
husband(F13B, M13B)
wife(M13B, F13B)
brother(F13A, F13B)
sister(M13A, M13B)
sibling(F13A, F13B)
sibling(F13B, F13A)
sibling(M13A, M13B)
sibling(M13B, M13A)
father(F13A, C13A1)
mother(M13A, C13A1)
father(F13A, C13A2)
mother(M13A, C13A2)
father(F13B, C13B1)
mother(M13B, C13B1)
father(F13B, C13B2)
mother(M13B, C13B2)
son(F13A, GF13)
daughter(F13B, GM13)
son(C13A1, F13A)
daughter(C13A2, M13A)
son(C13B1, F13B)
daughter(C13B2, M13B)
grandfather_chain(GF13, C13A1)
grandfather_chain(GF13, C13A2)
grandfather_chain(GF13, C13B1)
grandfather_chain(GF13, C13B2)
grandmother_chain(GM13, C13A1)
grandmother_chain(GM13, C13A2)
grandmother_chain(GM13, C13B1)
grandmother_chain(GM13, C13B2)
paternal_uncle_chain(GU13, F13A)
paternal_uncle_chain(GU13, F13B)
maternal_aunt_chain(GA13, F13A)
maternal_aunt_chain(GA13, F13B)
cousin_chain(C13A1, C13B1)
cousin_chain(C13B1, C13A1)
cousin_chain(C13A1, C13B2)
cousin_chain(C13B2, C13A1)
cousin_chain(C13A2, C13B1)
cousin_chain(C13B1, C13A2)
cousin_chain(C13A2, C13B2)
cousin_chain(C13B2, C13A2)
husband(GF14, GM14)
wife(GM14, GF14)
brother(GU14, GF14)
sister(GA14, GM14)
sibling(GU14, GF14)
sibling(GF14, GU14)
sibling(GA14, GM14)
sibling(GM14, GA14)
father(GF14, F14A)
mother(GM14, F14A)
father(GF14, F14B)
mother(GM14, F14B)
husband(F14A, M14A)
wife(M14A, F14A)
husband(F14B, M14B)
wife(M14B, F14B)
brother(F14A, F14B)
sister(M14A, M14B)
sibling(F14A, F14B)
sibling(F14B, F14A)
sibling(M14A, M14B)
sibling(M14B, M14A)
father(F14A, C14A1)
mother(M14A, C14A1)
father(F14A, C14A2)
mother(M14A, C14A2)
father(F14B, C14B1)
mother(M14B, C14B1)
father(F14B, C14B2)
mother(M14B, C14B2)
son(F14A, GF14)
daughter(F14B, GM14)
son(C14A1, F14A)
daughter(C14A2, M14A)
son(C14B1, F14B)
daughter(C14B2, M14B)
grandfather_chain(GF14, C14A1)
grandfather_chain(GF14, C14A2)
grandfather_chain(GF14, C14B1)
grandfather_chain(GF14, C14B2)
grandmother_chain(GM14, C14A1)
grandmother_chain(GM14, C14A2)
grandmother_chain(GM14, C14B1)
grandmother_chain(GM14, C14B2)
paternal_uncle_chain(GU14, F14A)
paternal_uncle_chain(GU14, F14B)
maternal_aunt_chain(GA14, F14A)
maternal_aunt_chain(GA14, F14B)
cousin_chain(C14A1, C14B1)
cousin_chain(C14B1, C14A1)
cousin_chain(C14A1, C14B2)
cousin_chain(C14B2, C14A1)
cousin_chain(C14A2, C14B1)
cousin_chain(C14B1, C14A2)
cousin_chain(C14A2, C14B2)
cousin_chain(C14B2, C14A2)
husband(GF15, GM15)
wife(GM15, GF15)
brother(GU15, GF15)
sister(GA15, GM15)
sibling(GU15, GF15)
sibling(GF15, GU15)
sibling(GA15, GM15)
sibling(GM15, GA15)
father(GF15, F15A)
mother(GM15, F15A)
father(GF15, F15B)
mother(GM15, F15B)
husband(F15A, M15A)
wife(M15A, F15A)
husband(F15B, M15B)
wife(M15B, F15B)
brother(F15A, F15B)
sister(M15A, M15B)
sibling(F15A, F15B)
sibling(F15B, F15A)
sibling(M15A, M15B)
sibling(M15B, M15A)
father(F15A, C15A1)
mother(M15A, C15A1)
father(F15A, C15A2)
mother(M15A, C15A2)
father(F15B, C15B1)
mother(M15B, C15B1)
father(F15B, C15B2)
mother(M15B, C15B2)
son(F15A, GF15)
daughter(F15B, GM15)
son(C15A1, F15A)
daughter(C15A2, M15A)
son(C15B1, F15B)
daughter(C15B2, M15B)
grandfather_chain(GF15, C15A1)
grandfather_chain(GF15, C15A2)
grandfather_chain(GF15, C15B1)
grandfather_chain(GF15, C15B2)
grandmother_chain(GM15, C15A1)
grandmother_chain(GM15, C15A2)
grandmother_chain(GM15, C15B1)
grandmother_chain(GM15, C15B2)
paternal_uncle_chain(GU15, F15A)
paternal_uncle_chain(GU15, F15B)
maternal_aunt_chain(GA15, F15A)
maternal_aunt_chain(GA15, F15B)
cousin_chain(C15A1, C15B1)
cousin_chain(C15B1, C15A1)
cousin_chain(C15A1, C15B2)
cousin_chain(C15B2, C15A1)
cousin_chain(C15A2, C15B1)
cousin_chain(C15B1, C15A2)
cousin_chain(C15A2, C15B2)
cousin_chain(C15B2, C15A2)
husband(GF16, GM16)
wife(GM16, GF16)
brother(GU16, GF16)
sister(GA16, GM16)
sibling(GU16, GF16)
sibling(GF16, GU16)
sibling(GA16, GM16)
sibling(GM16, GA16)
father(GF16, F16A)
mother(GM16, F16A)
father(GF16, F16B)
mother(GM16, F16B)
husband(F16A, M16A)
wife(M16A, F16A)
husband(F16B, M16B)
wife(M16B, F16B)
brother(F16A, F16B)
sister(M16A, M16B)
sibling(F16A, F16B)
sibling(F16B, F16A)
sibling(M16A, M16B)
sibling(M16B, M16A)
father(F16A, C16A1)
mother(M16A, C16A1)
father(F16A, C16A2)
mother(M16A, C16A2)
father(F16B, C16B1)
mother(M16B, C16B1)
father(F16B, C16B2)
mother(M16B, C16B2)
son(F16A, GF16)
daughter(F16B, GM16)
son(C16A1, F16A)
daughter(C16A2, M16A)
son(C16B1, F16B)
daughter(C16B2, M16B)
grandfather_chain(GF16, C16A1)
grandfather_chain(GF16, C16A2)
grandfather_chain(GF16, C16B1)
grandfather_chain(GF16, C16B2)
grandmother_chain(GM16, C16A1)
grandmother_chain(GM16, C16A2)
grandmother_chain(GM16, C16B1)
grandmother_chain(GM16, C16B2)
paternal_uncle_chain(GU16, F16A)
paternal_uncle_chain(GU16, F16B)
maternal_aunt_chain(GA16, F16A)
maternal_aunt_chain(GA16, F16B)
cousin_chain(C16A1, C16B1)
cousin_chain(C16B1, C16A1)
cousin_chain(C16A1, C16B2)
cousin_chain(C16B2, C16A1)
cousin_chain(C16A2, C16B1)
cousin_chain(C16B1, C16A2)
cousin_chain(C16A2, C16B2)
cousin_chain(C16B2, C16A2)
husband(GF17, GM17)
wife(GM17, GF17)
brother(GU17, GF17)
sister(GA17, GM17)
sibling(GU17, GF17)
sibling(GF17, GU17)
sibling(GA17, GM17)
sibling(GM17, GA17)
father(GF17, F17A)
mother(GM17, F17A)
father(GF17, F17B)
mother(GM17, F17B)
husband(F17A, M17A)
wife(M17A, F17A)
husband(F17B, M17B)
wife(M17B, F17B)
brother(F17A, F17B)
sister(M17A, M17B)
sibling(F17A, F17B)
sibling(F17B, F17A)
sibling(M17A, M17B)
sibling(M17B, M17A)
father(F17A, C17A1)
mother(M17A, C17A1)
father(F17A, C17A2)
mother(M17A, C17A2)
father(F17B, C17B1)
mother(M17B, C17B1)
father(F17B, C17B2)
mother(M17B, C17B2)
son(F17A, GF17)
daughter(F17B, GM17)
son(C17A1, F17A)
daughter(C17A2, M17A)
son(C17B1, F17B)
daughter(C17B2, M17B)
grandfather_chain(GF17, C17A1)
grandfather_chain(GF17, C17A2)
grandfather_chain(GF17, C17B1)
grandfather_chain(GF17, C17B2)
grandmother_chain(GM17, C17A1)
grandmother_chain(GM17, C17A2)
grandmother_chain(GM17, C17B1)
grandmother_chain(GM17, C17B2)
paternal_uncle_chain(GU17, F17A)
paternal_uncle_chain(GU17, F17B)
maternal_aunt_chain(GA17, F17A)
maternal_aunt_chain(GA17, F17B)
cousin_chain(C17A1, C17B1)
cousin_chain(C17B1, C17A1)
cousin_chain(C17A1, C17B2)
cousin_chain(C17B2, C17A1)
cousin_chain(C17A2, C17B1)
cousin_chain(C17B1, C17A2)
cousin_chain(C17A2, C17B2)
cousin_chain(C17B2, C17A2)
husband(GF18, GM18)
wife(GM18, GF18)
brother(GU18, GF18)
sister(GA18, GM18)
sibling(GU18, GF18)
sibling(GF18, GU18)
sibling(GA18, GM18)
sibling(GM18, GA18)
father(GF18, F18A)
mother(GM18, F18A)
father(GF18, F18B)
mother(GM18, F18B)
