sibling(GA22, GM22)
sister(GA23, GM23)
sibling(GA32, GM32)
son(C25B1, F25B)
sibling(F5B, F5A)
cousin_chain(C23A2, C23B1)
mother(M24A, C24A1)
sister(M37A, M37B)
grandfather_chain(GF35, C35B2)
father(F2B, C2B2)
cousin_chain(C21B1, C21A2)
daughter(C2B2, M2B)
sister(M2A, M2B)
cousin_chain(C34A2, C34B2)
grandmother_chain(GM10, C10A2)
mother(GM2, F2B)
grandmother_chain(GM36, C36B1)
brother(GU5, GF5)
cousin_chain(C23A1, C23B1)
grandmother_chain(GM8, C8A2)
daughter(C17A2, M17A)
brother(F37A, F37B)
grandmother_chain(GM27, C27B2)
sibling(GF15, GU15)
maternal_aunt_chain(GA4, F4A)
sibling(F13A, F13B)
wife(GM37, GF37)
mother(M19A, C19A1)
wife(GM31, GF31)
father(GF37, F37B)
cousin_chain(C9A2, C9B2)
cousin_chain(C7B1, C7A2)
wife(M29A, F29A)
daughter(F4B, GM4)
sister(M12A, M12B)
wife(GM3, GF3)
wife(M3A, F3A)
father(F24B, C24B1)
mother(M22B, C22B2)
father(F21A, C21A1)
sibling(GM31, GA31)
son(F40A, GF40)
sibling(GM40, GA40)
cousin_chain(C35A2, C35B1)
son(F37A, GF37)
cousin_chain(C30B2, C30A2)
sister(GA24, GM24)
grandfather_chain(GF6, C6A2)
sibling(F31B, F31A)
cousin_chain(C35B2, C35A2)
mother(M31A, C31A1)
sibling(F30B, F30A)
husband(F24A, M24A)
father(F37B, C37B1)
paternal_uncle_chain(GU6, F6B)
father(F3B, C3B2)
wife(GM29, GF29)
maternal_aunt_chain(GA17, F17B)
sibling(M30A, M30B)
sibling(GM3, GA3)
son(F23A, GF23)
father(F39B, C39B2)
mother(GM23, F23A)
son(C26A1, F26A)
father(F7A, C7A2)
sibling(F19A, F19B)
sibling(F40B, F40A)
wife(M5A, F5A)
wife(M30B, F30B)
father(F32B, C32B1)
grandfather_chain(GF37, C37A1)
wife(M30A, F30A)
father(F24A, C24A2)
brother(GU2, GF2)
grandmother_chain(GM22, C22B2)
father(GF31, F31B)
husband(F19B, M19B)
mother(M18A, C18A1)
son(C23B1, F23B)
father(GF3, F3B)
mother(M40A, C40A1)
brother(GU6, GF6)
cousin_chain(C33B2, C33A2)
son(C13A1, F13A)
grandmother_chain(GM31, C31B1)
maternal_aunt_chain(GA12, F12B)
paternal_uncle_chain(GU23, F23A)
grandfather_chain(GF28, C28A2)
sister(M8A, M8B)
husband(GF15, GM15)
mother(GM28, F28A)
cousin_chain(C3A1, C3B1)
mother(GM33, F33B)
sibling(M23B, M23A)
father(F28B, C28B1)
cousin_chain(C31A2, C31B1)
cousin_chain(C10B1, C10A1)
mother(M31B, C31B1)
cousin_chain(C5B2, C5A1)
daughter(C7A2, M7A)
sibling(GA8, GM8)
sibling(F20B, F20A)
sibling(GA7, GM7)
son(F5A, GF5)
sibling(M38A, M38B)
cousin_chain(C12B2, C12A2)
daughter(F10B, GM10)
brother(F8A, F8B)
mother(M35A, C35A2)
sibling(GF19, GU19)
mother(GM18, F18A)
cousin_chain(C5A2, C5B2)
maternal_aunt_chain(GA34, F34B)
cousin_chain(C2A2, C2B2)
father(GF10, F10A)
cousin_chain(C26B2, C26A2)
grandfather_chain(GF11, C11B2)
cousin_chain(C30A1, C30B2)
mother(GM22, F22A)
husband(F15B, M15B)
brother(GU34, GF34)
cousin_chain(C14B1, C14A2)
sister(GA38, GM38)
sibling(GM23, GA23)
grandmother_chain(GM10, C10B2)
mother(GM33, F33A)
father(F8B, C8B1)
sibling(F18B, F18A)
mother(M33B, C33B2)
cousin_chain(C9B2, C9A2)
daughter(C26B2, M26B)
daughter(C38A2, M38A)
husband(F4A, M4A)
mother(M11A, C11A2)
daughter(F21B, GM21)
sibling(GF39, GU39)
wife(M9B, F9B)
father(F19B, C19B2)
son(F4A, GF4)
father(GF21, F21B)
cousin_chain(C15B2, C15A2)
wife(GM30, GF30)
grandmother_chain(GM39, C39A1)
husband(F18B, M18B)
grandmother_chain(GM13, C13A2)
cousin_chain(C5A1, C5B2)
grandmother_chain(GM20, C20B2)
cousin_chain(C26B1, C26A2)
grandmother_chain(GM26, C26A2)
sibling(F10A, F10B)
sibling(GA20, GM20)
sibling(GU24, GF24)
father(GF29, F29A)
father(GF35, F35B)
father(GF8, F8B)
daughter(C23B2, M23B)
grandmother_chain(GM36, C36B2)
father(F12A, C12A1)
mother(M38A, C38A1)
sibling(M3B, M3A)
sibling(GA5, GM5)
father(GF12, F12B)
paternal_uncle_chain(GU21, F21B)
grandfather_chain(GF30, C30B2)
sibling(GM22, GA22)
cousin_chain(C10A2, C10B1)
sister(M35A, M35B)
cousin_chain(C28B1, C28A1)
grandfather_chain(GF33, C33B1)
sibling(M26A, M26B)
grandfather_chain(GF25, C25A2)
cousin_chain(C19B1, C19A2)
sibling(M25B, M25A)
paternal_uncle_chain(GU8, F8B)
sibling(F28B, F28A)
cousin_chain(C32A2, C32B2)
paternal_uncle_chain(GU7, F7B)
brother(F27A, F27B)
wife(GM19, GF19)
grandfather_chain(GF2, C2A2)
wife(M39B, F39B)
sister(GA7, GM7)
grandmother_chain(GM15, C15A2)
wife(M18A, F18A)
sibling(GU31, GF31)
wife(GM26, GF26)
mother(M2A, C2A2)
grandmother_chain(GM30, C30A1)
sibling(GU32, GF32)
brother(F10A, F10B)
father(GF19, F19B)
maternal_aunt_chain(GA6, F6B)
cousin_chain(C25B1, C25A1)
sibling(M5B, M5A)
daughter(F20B, GM20)
father(F5A, C5A2)
father(F5A, C5A1)
sibling(F38A, F38B)
grandfather_chain(GF31, C31A2)
daughter(C6A2, M6A)
daughter(C10A2, M10A)
cousin_chain(C26B2, C26A1)
cousin_chain(C37A2, C37B1)
mother(GM36, F36B)
father(F30B, C30B2)
father(F8B, C8B2)
daughter(C27B2, M27B)
father(F26A, C26A2)
cousin_chain(C1A1, C1B1)
brother(F23A, F23B)
daughter(C18B2, M18B)
sister(M40A, M40B)
sister(GA32, GM32)
father(F15B, C15B2)
grandmother_chain(GM27, C27B1)
sibling(F30A, F30B)
daughter(C12B2, M12B)
sibling(F24A, F24B)
husband(GF17, GM17)
grandfather_chain(GF39, C39A1)
mother(M4A, C4A2)
cousin_chain(C26B1, C26A1)
cousin_chain(C1B1, C1A1)
son(F11A, GF11)
cousin_chain(C2B2, C2A2)
grandmother_chain(GM26, C26A1)
father(F17B, C17B1)
cousin_chain(C15A1, C15B2)
mother(M36A, C36A2)
daughter(C34B2, M34B)
wife(M23A, F23A)
brother(GU16, GF16)
son(C14B1, F14B)
father(F13B, C13B1)
sibling(F8A, F8B)
father(F35B, C35B2)
son(F7A, GF7)
grandmother_chain(GM19, C19A2)
mother(M18A, C18A2)
sibling(M27A, M27B)
sibling(M28A, M28B)
mother(GM39, F39B)
cousin_chain(C7A1, C7B1)
mother(GM36, F36A)
maternal_aunt_chain(GA27, F27A)
cousin_chain(C25A2, C25B1)
sibling(GF2, GU2)
sibling(F25B, F25A)
sibling(M17B, M17A)
wife(M12A, F12A)
grandmother_chain(GM8, C8B1)
grandfather_chain(GF31, C31A1)
grandmother_chain(GM7, C7B2)
sister(M5A, M5B)
mother(M23B, C23B2)
mother(GM37, F37A)
wife(M8A, F8A)
brother(F24A, F24B)
mother(GM5, F5B)
mother(M24B, C24B1)
maternal_aunt_chain(GA6, F6A)
paternal_uncle_chain(GU23, F23B)
grandfather_chain(GF13, C13B2)
father(F22A, C22A1)
grandmother_chain(GM4, C4B1)
paternal_uncle_chain(GU12, F12B)
daughter(F14B, GM14)
cousin_chain(C4A2, C4B1)
sibling(GU23, GF23)
sibling(GF35, GU35)
cousin_chain(C4A1, C4B1)
cousin_chain(C10A1, C10B2)
grandfather_chain(GF40, C40A2)
sibling(GA23, GM23)
paternal_uncle_chain(GU2, F2B)
mother(M38B, C38B1)
grandfather_chain(GF18, C18B1)
cousin_chain(C16B2, C16A2)
sibling(M33B, M33A)
father(GF13, F13A)
grandmother_chain(GM28, C28A2)
cousin_chain(C33A2, C33B1)
son(C30B1, F30B)
son(C1A1, F1A)
grandfather_chain(GF24, C24B1)
daughter(C35A2, M35A)
father(F4A, C4A1)
grandfather_chain(GF29, C29B1)
cousin_chain(C20B2, C20A1)
father(F26A, C26A1)
mother(M14B, C14B2)
sibling(F2A, F2B)
cousin_chain(C39B1, C39A1)
father(F35A, C35A1)
cousin_chain(C8A1, C8B2)
wife(M19A, F19A)
sibling(GM35, GA35)
grandfather_chain(GF25, C25B2)
father(F14B, C14B1)
sibling(F5A, F5B)
mother(GM19, F19B)
sibling(GF26, GU26)
mother(M20B, C20B2)
mother(GM7, F7A)
mother(M14A, C14A2)
sibling(GM39, GA39)
cousin_chain(C8B2, C8A1)
cousin_chain(C37B2, C37A2)
cousin_chain(C21A2, C21B2)
cousin_chain(C30A1, C30B1)
sibling(GM13, GA13)
sibling(GU11, GF11)
sibling(GF25, GU25)
cousin_chain(C12B1, C12A2)
father(F20A, C20A2)
mother(M8A, C8A2)
son(F10A, GF10)
brother(F25A, F25B)
grandmother_chain(GM40, C40B2)
sibling(GF32, GU32)
sibling(GF8, GU8)
cousin_chain(C1A2, C1B1)
daughter(C12A2, M12A)
cousin_chain(C11B2, C11A1)
son(C3B1, F3B)
maternal_aunt_chain(GA15, F15B)
cousin_chain(C16A1, C16B2)
wife(GM14, GF14)
sibling(GF33, GU33)
father(GF33, F33A)
grandmother_chain(GM8, C8B2)
maternal_aunt_chain(GA10, F10B)
paternal_uncle_chain(GU5, F5A)
sister(M10A, M10B)
grandfather_chain(GF15, C15A1)
sister(M20A, M20B)
mother(M26A, C26A2)
sibling(GF1, GU1)
paternal_uncle_chain(GU22, F22B)
grandmother_chain(GM38, C38A2)
son(C28A1, F28A)
sibling(M3A, M3B)
maternal_aunt_chain(GA35, F35A)
paternal_uncle_chain(GU13, F13B)
cousin_chain(C31B2, C31A1)
cousin_chain(C38B1, C38A2)
sibling(GF22, GU22)
brother(GU35, GF35)
daughter(F33B, GM33)
father(GF14, F14B)
cousin_chain(C31B1, C31A1)
daughter(C32A2, M32A)
grandmother_chain(GM18, C18A1)
maternal_aunt_chain(GA22, F22B)
sibling(GM14, GA14)
wife(M27A, F27A)
grandfather_chain(GF4, C4A2)
son(F39A, GF39)
mother(GM31, F31B)
grandmother_chain(GM12, C12B1)
son(F35A, GF35)
cousin_chain(C8A2, C8B1)
brother(GU12, GF12)
husband(F19A, M19A)
husband(F28A, M28A)
sister(GA30, GM30)
mother(M2B, C2B2)
cousin_chain(C7B2, C7A1)
cousin_chain(C1A1, C1B2)
grandfather_chain(GF40, C40B1)
maternal_aunt_chain(GA16, F16A)
husband(F11A, M11A)
grandmother_chain(GM24, C24B2)
sibling(F34B, F34A)
grandfather_chain(GF6, C6B1)
sibling(GM2, GA2)
grandfather_chain(GF6, C6A1)
son(F32A, GF32)
mother(M1A, C1A2)
brother(GU36, GF36)
mother(M13B, C13B2)
sibling(M18A, M18B)
father(F5B, C5B1)
sibling(GA1, GM1)
daughter(C25A2, M25A)
husband(GF2, GM2)
cousin_chain(C22B1, C22A2)
sister(GA15, GM15)
wife(M1A, F1A)
mother(M26A, C26A1)
husband(F32B, M32B)
husband(GF36, GM36)
sibling(M24B, M24A)
wife(GM2, GF2)
father(F33A, C33A1)
paternal_uncle_chain(GU38, F38B)
brother(GU19, GF19)
father(F40B, C40B1)
maternal_aunt_chain(GA15, F15A)
cousin_chain(C13A1, C13B2)
grandmother_chain(GM1, C1A2)
grandmother_chain(GM3, C3A2)
grandfather_chain(GF3, C3A1)
grandfather_chain(GF32, C32B2)
grandfather_chain(GF7, C7B1)
grandfather_chain(GF9, C9A1)
daughter(F1B, GM1)
sibling(GF21, GU21)
sister(M6A, M6B)
father(F23B, C23B2)
son(C27A1, F27A)
sibling(GF31, GU31)
wife(M4A, F4A)
father(GF25, F25B)
cousin_chain(C28B1, C28A2)
husband(F28B, M28B)
mother(M28B, C28B1)
maternal_aunt_chain(GA14, F14B)
cousin_chain(C34A2, C34B1)
daughter(C34A2, M34A)
son(C21A1, F21A)
mother(GM11, F11A)
grandfather_chain(GF24, C24A1)
sister(M23A, M23B)
cousin_chain(C8A2, C8B2)
father(F16B, C16B1)
father(F16A, C16A1)
sibling(F35B, F35A)
father(F29A, C29A1)
son(F21A, GF21)
husband(F1B, M1B)
sibling(GM38, GA38)
mother(M11A, C11A1)
brother(GU25, GF25)
sister(GA16, GM16)
mother(GM29, F29A)
sibling(M8B, M8A)
daughter(C7B2, M7B)
grandmother_chain(GM16, C16A2)
mother(M22A, C22A1)
grandfather_chain(GF29, C29B2)
father(GF31, F31A)
mother(GM37, F37B)
cousin_chain(C33A1, C33B1)
cousin_chain(C17B2, C17A2)
daughter(C8A2, M8A)
cousin_chain(C32A1, C32B2)
cousin_chain(C20A2, C20B1)
sibling(GA36, GM36)
father(F40A, C40A1)
cousin_chain(C33A2, C33B2)
paternal_uncle_chain(GU31, F31B)
son(F1A, GF1)
cousin_chain(C2A1, C2B1)
cousin_chain(C40A1, C40B2)
father(GF26, F26B)
grandfather_chain(GF25, C25A1)
grandmother_chain(GM23, C23A2)
daughter(F25B, GM25)
cousin_chain(C1A2, C1B2)
wife(M5B, F5B)
husband(F2B, M2B)
wife(M35B, F35B)
paternal_uncle_chain(GU14, F14B)
cousin_chain(C16A2, C16B1)
sibling(GF36, GU36)
father(F15A, C15A2)
father(F39B, C39B1)
brother(F15A, F15B)
cousin_chain(C39A1, C39B1)
son(F25A, GF25)
father(F27B, C27B1)
grandmother_chain(GM37, C37A1)
father(GF1, F1A)
grandmother_chain(GM16, C16B1)
sibling(GU3, GF3)
father(F17A, C17A2)
cousin_chain(C31A1, C31B2)
husband(F14A, M14A)
grandfather_chain(GF34, C34B2)
grandfather_chain(GF36, C36A1)
mother(M17A, C17A1)
grandfather_chain(GF40, C40A1)
mother(M21B, C21B1)
father(F37A, C37A1)
grandfather_chain(GF5, C5A2)
grandfather_chain(GF5, C5A1)
father(GF35, F35A)
cousin_chain(C22B2, C22A1)
mother(M25A, C25A1)
cousin_chain(C27B1, C27A1)
grandmother_chain(GM13, C13B1)
father(F16B, C16B2)
mother(M32A, C32A1)
sibling(GU15, GF15)
daughter(F12B, GM12)
daughter(C1B2, M1B)
father(F19A, C19A1)
father(F19A, C19A2)
grandmother_chain(GM27, C27A2)
maternal_aunt_chain(GA37, F37A)
cousin_chain(C6A1, C6B2)
grandmother_chain(GM18, C18A2)
grandfather_chain(GF18, C18A1)
father(F16A, C16A2)
grandmother_chain(GM20, C20A1)
daughter(F9B, GM9)
grandfather_chain(GF1, C1A2)
sibling(M40A, M40B)
son(C26B1, F26B)
mother(M10A, C10A2)
cousin_chain(C27B1, C27A2)
cousin_chain(C35A1, C35B2)
sibling(M24A, M24B)
cousin_chain(C17A2, C17B1)
cousin_chain(C9B2, C9A1)
grandmother_chain(GM12, C12A2)
cousin_chain(C38A2, C38B2)
cousin_chain(C17B2, C17A1)
sibling(GF18, GU18)
sibling(M27B, M27A)
cousin_chain(C39B2, C39A1)
maternal_aunt_chain(GA24, F24A)
son(C28B1, F28B)
cousin_chain(C5B1, C5A2)
cousin_chain(C5B1, C5A1)
grandmother_chain(GM4, C4A1)
cousin_chain(C16A2, C16B2)
cousin_chain(C7A2, C7B1)
father(GF28, F28B)
daughter(F2B, GM2)
son(C24B1, F24B)
husband(GF3, GM3)
daughter(C3B2, M3B)
sibling(GU38, GF38)
grandmother_chain(GM37, C37B2)
grandmother_chain(GM35, C35B2)
sister(GA21, GM21)
sibling(F6B, F6A)
father(GF16, F16B)
sibling(GA10, GM10)
grandmother_chain(GM16, C16B2)
sibling(M20A, M20B)
wife(GM13, GF13)
daughter(F17B, GM17)
daughter(C9A2, M9A)
cousin_chain(C20B2, C20A2)
wife(M17B, F17B)
mother(GM5, F5A)
maternal_aunt_chain(GA26, F26B)
cousin_chain(C39B1, C39A2)
cousin_chain(C17A1, C17B1)
maternal_aunt_chain(GA19, F19A)
son(C8A1, F8A)
cousin_chain(C20A1, C20B1)
sibling(GF3, GU3)
father(F24A, C24A1)
grandfather_chain(GF14, C14B2)
daughter(F38B, GM38)
daughter(C16A2, M16A)
sibling(F22A, F22B)
cousin_chain(C38B2, C38A1)
grandmother_chain(GM9, C9B1)
sibling(GM18, GA18)
mother(M8A, C8A1)
cousin_chain(C21A1, C21B1)
grandmother_chain(GM28, C28A1)
sibling(M1A, M1B)
sibling(M4A, M4B)
cousin_chain(C3B2, C3A1)
cousin_chain(C4B2, C4A1)
father(F18A, C18A1)
paternal_uncle_chain(GU32, F32A)
maternal_aunt_chain(GA39, F39B)
sister(M3A, M3B)
brother(GU24, GF24)
grandmother_chain(GM22, C22A2)
wife(M16A, F16A)
grandfather_chain(GF16, C16A2)
son(C25A1, F25A)
father(F23A, C23A2)
father(F21A, C21A2)
maternal_aunt_chain(GA25, F25B)
mother(M6B, C6B2)
grandmother_chain(GM32, C32A1)
mother(GM10, F10B)
husband(GF8, GM8)
sibling(M37A, M37B)
mother(M36B, C36B1)
father(F10A, C10A2)
father(GF25, F25A)
husband(GF35, GM35)
mother(GM4, F4A)
mother(GM38, F38A)
grandmother_chain(GM14, C14A2)
brother(F35A, F35B)
sibling(M32A, M32B)
paternal_uncle_chain(GU1, F1A)
mother(M28B, C28B2)
husband(F33A, M33A)
father(F25B, C25B1)
sibling(M22B, M22A)
wife(M12B, F12B)
paternal_uncle_chain(GU16, F16A)
daughter(C31B2, M31B)
father(F2A, C2A1)
cousin_chain(C39A1, C39B2)
mother(GM39, F39A)
cousin_chain(C21A2, C21B1)
sibling(GM29, GA29)
cousin_chain(C12B2, C12A1)
daughter(F24B, GM24)
son(F27A, GF27)
father(F17B, C17B2)
cousin_chain(C35A2, C35B2)
father(F18B, C18B1)
maternal_aunt_chain(GA20, F20B)
grandfather_chain(GF31, C31B2)
grandmother_chain(GM32, C32B1)
father(GF6, F6B)
son(C7B1, F7B)
cousin_chain(C13B1, C13A2)
sibling(GF11, GU11)
cousin_chain(C15B1, C15A2)
sibling(F36B, F36A)
grandfather_chain(GF19, C19B2)
mother(M30B, C30B1)
grandfather_chain(GF22, C22A1)
sister(GA1, GM1)
cousin_chain(C1B2, C1A2)
daughter(F34B, GM34)
father(GF7, F7B)
wife(GM27, GF27)
brother(F30A, F30B)
daughter(C15A2, M15A)
daughter(F35B, GM35)
cousin_chain(C5B2, C5A2)
son(F30A, GF30)
son(C30A1, F30A)
wife(M11A, F11A)
mother(M39B, C39B1)
son(C15A1, F15A)
husband(F5A, M5A)
maternal_aunt_chain(GA7, F7A)
mother(M36A, C36A1)
sibling(GF27, GU27)
grandfather_chain(GF7, C7A2)
cousin_chain(C24A1, C24B1)
husband(F21A, M21A)
mother(GM8, F8B)
sibling(F8B, F8A)
son(F34A, GF34)
mother(M29B, C29B2)
mother(M18B, C18B1)
cousin_chain(C19A1, C19B1)
mother(M10A, C10A1)
grandfather_chain(GF30, C30A1)
sibling(F18A, F18B)
father(GF34, F34B)
son(F38A, GF38)
son(C9A1, F9A)
paternal_uncle_chain(GU39, F39A)
maternal_aunt_chain(GA29, F29B)
wife(M16B, F16B)
wife(GM22, GF22)
cousin_chain(C36B1, C36A2)
sibling(GM36, GA36)
sibling(GU1, GF1)
sibling(M31B, M31A)
sibling(M21B, M21A)
mother(M35A, C35A1)
sibling(F25A, F25B)
grandfather_chain(GF23, C23A1)
father(GF6, F6A)
father(GF29, F29B)
sibling(F17A, F17B)
mother(M25B, C25B2)
cousin_chain(C29B1, C29A1)
husband(GF28, GM28)
wife(M40B, F40B)
wife(GM1, GF1)
cousin_chain(C9A1, C9B1)
mother(M16A, C16A2)
husband(F9A, M9A)
father(GF14, F14A)
sister(GA3, GM3)
cousin_chain(C7B1, C7A1)
son(C32B1, F32B)
sibling(M26B, M26A)
sibling(F7B, F7A)
cousin_chain(C29B1, C29A2)
daughter(F7B, GM7)
son(C2B1, F2B)
father(F38A, C38A2)
sibling(F3B, F3A)
sibling(F4A, F4B)
grandmother_chain(GM5, C5B2)
cousin_chain(C23B2, C23A2)
sibling(GF9, GU9)
cousin_chain(C9B1, C9A1)
brother(GU10, GF10)
wife(GM23, GF23)
grandfather_chain(GF13, C13A2)
son(C15B1, F15B)
cousin_chain(C11A1, C11B2)
maternal_aunt_chain(GA13, F13B)
son(F24A, GF24)
sibling(F12B, F12A)
sibling(GM20, GA20)
grandmother_chain(GM30, C30A2)
father(F18A, C18A2)
grandfather_chain(GF4, C4B1)
wife(M29B, F29B)
sister(M38A, M38B)
father(GF32, F32B)
sibling(M33A, M33B)
son(C18A1, F18A)
sibling(GA6, GM6)
cousin_chain(C16B2, C16A1)
sibling(GU14, GF14)
father(F10A, C10A1)
maternal_aunt_chain(GA1, F1B)
cousin_chain(C26A2, C26B2)
father(F4B, C4B2)
cousin_chain(C24B1, C24A1)
grandfather_chain(GF23, C23B1)
mother(M13A, C13A2)
mother(GM7, F7B)
brother(GU8, GF8)
mother(M25A, C25A2)
grandmother_chain(GM6, C6B2)
sibling(GM5, GA5)
grandfather_chain(GF37, C37A2)
sibling(M20B, M20A)
husband(GF31, GM31)
son(C5B1, F5B)
wife(GM28, GF28)
maternal_aunt_chain(GA25, F25A)
sibling(M7B, M7A)
cousin_chain(C29B2, C29A2)
father(F7A, C7A1)
father(GF8, F8A)
mother(M19B, C19B2)
son(F31A, GF31)
wife(M32B, F32B)
cousin_chain(C30B1, C30A1)
sibling(F22B, F22A)
mother(M22B, C22B1)
husband(F32A, M32A)
mother(GM17, F17A)
grandfather_chain(GF15, C15A2)
maternal_aunt_chain(GA23, F23A)
son(C22B1, F22B)
brother(GU14, GF14)
son(F2A, GF2)
sibling(M4B, M4A)
son(C16A1, F16A)
grandmother_chain(GM5, C5A2)
daughter(F22B, GM22)
paternal_uncle_chain(GU8, F8A)
father(GF15, F15B)
daughter(C15B2, M15B)
daughter(C6B2, M6B)
sibling(GM33, GA33)
cousin_chain(C22A1, C22B2)
father(F32B, C32B2)
father(F24B, C24B2)
daughter(C35B2, M35B)
father(F25B, C25B2)
cousin_chain(C16A1, C16B1)
brother(GU37, GF37)
mother(M1B, C1B1)
sibling(GM6, GA6)
cousin_chain(C39B2, C39A2)
sibling(GM4, GA4)
son(C24A1, F24A)
cousin_chain(C14A1, C14B2)
grandmother_chain(GM30, C30B2)
sister(GA13, GM13)
wife(M22B, F22B)
grandmother_chain(GM13, C13B2)
wife(M25B, F25B)
grandfather_chain(GF35, C35A2)
father(F13A, C13A2)
sister(GA18, GM18)
sibling(M11A, M11B)
cousin_chain(C27A1, C27B1)
grandmother_chain(GM8, C8A1)
sibling(GM10, GA10)
cousin_chain(C25A1, C25B1)
grandfather_chain(GF26, C26B1)
grandmother_chain(GM35, C35A2)
cousin_chain(C29A2, C29B2)
cousin_chain(C15B2, C15A1)
paternal_uncle_chain(GU19, F19B)
paternal_uncle_chain(GU15, F15B)
father(F15B, C15B1)
grandmother_chain(GM33, C33B1)
mother(M39A, C39A1)
brother(GU39, GF39)
sister(M4A, M4B)
cousin_chain(C32B1, C32A1)
sibling(GA40, GM40)
daughter(C37B2, M37B)
sister(GA31, GM31)
cousin_chain(C21B2, C21A1)
daughter(C30A2, M30A)
father(F19B, C19B1)
mother(GM9, F9B)
sibling(GA28, GM28)
daughter(C2A2, M2A)
sibling(GM28, GA28)
cousin_chain(C2B1, C2A1)
mother(M23A, C23A2)
father(F30A, C30A1)
wife(M11B, F11B)
paternal_uncle_chain(GU14, F14A)
sibling(F26A, F26B)
wife(M32A, F32A)
paternal_uncle_chain(GU32, F32B)
son(C18B1, F18B)
grandmother_chain(GM31, C31A2)
son(F14A, GF14)
paternal_uncle_chain(GU7, F7A)
husband(F37A, M37A)
sibling(M29B, M29A)
son(C2A1, F2A)
husband(F10B, M10B)
father(GF20, F20B)
mother(M6A, C6A1)
grandfather_chain(GF10, C10A2)
husband(F8A, M8A)
mother(GM38, F38B)
cousin_chain(C14A2, C14B1)
cousin_chain(C15A2, C15B2)
daughter(C31A2, M31A)
grandfather_chain(GF18, C18B2)
grandmother_chain(GM14, C14A1)
grandmother_chain(GM15, C15A1)
maternal_aunt_chain(GA10, F10A)
cousin_chain(C39A2, C39B2)
father(GF22, F22B)
mother(M29A, C29A1)
brother(GU9, GF9)
sibling(M5A, M5B)
father(GF30, F30A)
daughter(C19A2, M19A)
cousin_chain(C28A1, C28B2)
grandmother_chain(GM1, C1A1)
sibling(M13B, M13A)
cousin_chain(C35B1, C35A1)
mother(M4A, C4A1)
cousin_chain(C25B2, C25A2)
sister(M28A, M28B)
sibling(M14B, M14A)
wife(M28B, F28B)
daughter(C33B2, M33B)
wife(GM4, GF4)
sibling(M11B, M11A)
sibling(GF17, GU17)
sibling(M32B, M32A)
grandfather_chain(GF3, C3A2)
sibling(GU18, GF18)
sibling(F24B, F24A)
sibling(GF6, GU6)
grandmother_chain(GM7, C7B1)
sister(M11A, M11B)
cousin_chain(C36B2, C36A1)
grandmother_chain(GM31, C31A1)
mother(M5B, C5B1)
sibling(GF16, GU16)
son(C10A1, F10A)
brother(GU40, GF40)
husband(GF1, GM1)
grandfather_chain(GF33, C33B2)
brother(F13A, F13B)
wife(GM40, GF40)
sister(M7A, M7B)
sister(GA40, GM40)
father(GF30, F30B)
son(F12A, GF12)
husband(GF37, GM37)
daughter(F36B, GM36)
wife(M21B, F21B)
son(C8B1, F8B)
cousin_chain(C29A1, C29B1)
sibling(F29A, F29B)
father(F3A, C3A2)
father(GF2, F2B)
daughter(C24A2, M24A)
